wkt_geom	fid	locality	long	lat
Point (36.31666666999999649 4.29999999999999982)	6	Koobi Fora	36.31666667	4.3
Point (35.89999999999999858 4.13333330000000032)	7	Nariokotome	35.9	4.1333333
NULL	4	Aramis		
NULL	5	Konso Gardula		
Point (40.51930000000000121 11.10706667000000003)	2	Gona	40.5193	11.10706667
Point (40.60000000000000142 11.05000000000000071)	3	Dikika	40.6	11.05
Point (40.58333333000000209 11.09999999999999964)	1	Hadar	40.58333333	11.1
Point (27.75583333000000152 -25.96888888999999878)	14	Swartkrans	27.75583333	-25.96888889
Point (27.7345480000000002 -26.01569200000000137)	15	Sterkfontein	27.734548	-26.015692
Point (33.97416669999999783 -10.05361109999999947)	12	Malema	33.9741667	-10.0536111
Point (34.17111110999999823 -10.49333333000000046)	13	Uraha	34.17111111	-10.49333333
Point (35.21666667000000217 -3.16666666699999988)	10	Laetoli	35.21666667	-3.166666667
Point (36.16666666999999791 -3.5)	11	Makuyuni	36.16666667	-3.5
Point (35.74000000000000199 3.89999999999999991)	8	Lomekwi	35.74	3.9
Point (35.33333329999999961 -2.98333329999999997)	9	Olduvai Schlucht	35.3333333	-2.9833333
Point (35.77166669999999726 3.96499999999999986)	18	Kokiselei 4	35.7716667	3.965
Point (40.86932099999999934 11.39856400000000036)	19	Ledi Geraru	40.869321	11.398564
Point (24.63398700000000119 -27.61986699999999928)	16	Taung	24.633987	-27.619867
Point (36.44473889999999727 -1.57753889999999997)	17	Olorgesailie	36.4447389	-1.5775389
